timestamp,Process.Rocksdb.L0.CommitSuccess,Process.Rocksdb.Compaction.MovedTo.L1,Exception.UpstreamServer.Connect,Exception.Cephx.CouldNotFindEntity,Process.Rocksdb.Compaction.Start2,Process.Rocksdb.Compaction.Interval,Report.Cluster.NewLeader,Process.Rocksdb.Compaction.L1,Process.Start.Request,Process.Rocksdb.Compaction.L2,Process.CheckSub.SendingToClient,Process.Scrub.Ok,Process.Rocksdb.GeneratTable,Process.Rocksdb.Compaction.OK,Report.Connection.Accept,Warn.Paxos.Recovering,Report.OsdPool.Enable,Process.Rocksdb.Compaction.Manual,Warn.UpstreamServer.TempDisabled,Process.Rocksdb.Compaction.Start,Process.Mon.Rank,Process.MDSStandby.Replay.Done,Process.Rocksdb.TableFileCreate,Process.Rocksdb.Delete.WAL,Process.Paxosservice.Upgraded,Process.Rocksdb.Compaction.MovingTo.L1,Warn.SlowRequest.Client,Process.Rocksdb.StopWrite.WaitFlush,Process.Rocksdb.Compaction.SyncingLog,Process.Rocksdb.Compaction.FlushMemToFile,Process.Rocksdb.L0.FlushStart,Report.Request.Done,Report.Server.ToStandby,Report.Rocksdb.Compaction.Finished,Process.Rocksdb.MemTable.Created
1530547200,10,,3,,,,,,24,,17,,,,,,,,3,,,15,5,5,,,,,,5,10,,,,5
1530547260,18,,3,,10,,,10,24,10,15,,20,10,,,,20,3,10,,18,29,9,,,,,5,9,18,,,10,9
1530547320,,,3,,,,,,24,,16,,,,,,,,3,,,26,,,,,,,,,,,,,
1530547380,10,,3,,,,,,24,,15,,,,,,,,3,,,21,5,5,,,,,,5,10,,,,5
1530547440,8,,3,,,,,,24,,17,,,,,,,,3,,,21,4,4,,,,,,4,8,,,,4
1530547500,10,,3,,,,,,24,,15,,,,,,,,3,,,21,5,5,,,,,,5,10,,,,5
1530547560,8,,3,,4,8,,4,24,4,15,,8,4,,,,,3,4,,15,12,4,,,,,,4,8,,,4,4
1530547620,30,10,3,,20,2,,20,24,20,14,,60,20,,,,60,3,20,,27,75,15,,10,,,15,15,30,,,20,15
1530547680,8,,3,,,,,,24,,17,,,,,,,,3,,,24,4,4,,,,,,4,8,,,,4
1530547740,18,4,3,,12,,,12,24,12,13,,28,12,,,,36,3,12,,21,37,9,,4,,,9,9,18,,,12,9
1530547800,8,,3,,,,,,24,,15,,,,,,,,3,,,37,4,4,,,,,,4,8,,,,4
1530547860,8,,3,,,,,,24,,15,,,,,,,,3,,,16,4,4,,,,,,4,8,,,,4
1530547920,2,,3,,,,,,24,,16,,,,,,,,3,,,18,1,1,,,,,,1,2,,,,1
1530547980,10,,3,,10,,,10,24,10,15,,25,10,,,,20,3,10,,33,30,5,,,,,5,5,10,,,10,5
1530548040,10,,3,,,,,,24,,16,,,,,,,,3,,,28,5,5,,,,,,5,10,,,,5
1530548100,8,,3,,,,,,24,,15,,,,,,,,3,,,24,4,4,,,,,,4,8,,,,4
1530548160,18,3,3,,13,,,13,24,13,14,,29,13,,,,36,3,13,,16,38,9,,3,,,9,9,18,,,13,9
1530548220,8,,3,,,,,,24,,15,,,,,,,,3,,,16,4,4,,,,,,4,8,,,,4
1530548280,12,,3,,10,10,,10,24,10,18,,20,10,,,,20,3,10,,17,26,6,,,,,5,6,12,,,10,6
1530548340,,,3,,,,,,24,,15,,,,,,,,3,,,10,,,,,,,,,,,,,
1530548400,10,,3,,,,,,24,,15,,,,,,,,3,,,6,5,5,,,,,,5,10,,,,5
1530548460,8,,3,,,,,,24,,15,,,,,,,,3,,,6,4,4,,,,,,4,8,,,,4
1530548520,10,,3,,,,,,24,,16,,,,,,,,3,,,26,5,5,,,,,,5,10,,,,5
1530548580,8,,3,,4,,,4,24,4,15,,8,4,,,,,3,4,,20,12,4,,,,,,4,8,,,4,4
1530548640,28,7,3,,17,,,17,24,17,15,,51,17,,,,54,3,17,,15,65,14,,7,,,14,14,28,,,17,14
1530548700,16,5,3,,9,,,9,24,9,15,,23,9,,,,34,3,9,,19,31,8,,5,,,8,8,16,,,9,8
1530548760,,,3,,,,,,24,,16,,,,,,,,3,,,30,,,,,,,,,,,,,
1530548820,10,,3,,,,,,24,,15,,,,,,,,3,,,20,5,5,,,,,,5,10,,,,5
1530548880,8,,3,,,,,,24,,16,,,,,,,,3,,,20,4,4,,,,,,4,8,,,,4
1530548940,20,,3,,10,10,,10,24,10,15,,23,10,,,,20,3,10,,19,33,10,,,,,5,10,20,,,10,10
1530549000,,,3,,,,,,24,,17,,,,,,,,3,,,9,,,,,,,,,,,,,
1530549060,10,,3,,,,,,24,,15,,,,,,,,3,,,17,5,5,,,,,,5,10,,,,5
